iter	Passed	Remaining
1451	95009	35857
1452	95072	35791
1453	95138	35726
1454	95203	35660
1455	95269	35595
1456	95335	35530
1457	95415	35469
1458	95479	35404
1459	95543	35337
1460	95608	35272
1461	95671	35206
1462	95757	35148
1463	95836	35087
1464	95901	35022
1465	95966	34956
1466	96042	34894
1467	96108	34829
1468	96171	34763
1469	96235	34697
1470	96299	34631
1471	96366	34566
1472	96433	34501
1473	96498	34435
1474	96565	34370
1475	96628	34304
1476	96690	34237
1477	96757	34172
1478	96819	34106
1479	96886	34041
1480	96954	33976
1481	97026	33913
1482	97103	33852
1483	97182	33791
1484	97270	33733
1485	97358	33675
1486	97435	33614
1487	97511	33552
1488	97596	33493
1489	97682	33435
1490	97757	33372
1491	97827	33308
1492	97898	33244
1493	97970	33181
1494	98045	33118
1495	98117	33055
1496	98199	32995
1497	98273	32932
1498	98348	32870
1499	98420	32806
1500	98496	32744
1501	98574	32683
1502	98649	32620
1503	98725	32558
1504	98809	32498
1505	98887	32437
1506	98968	32376
1507	99051	32316
1508	99136	32257
1509	99223	32198
1510	99312	32140
1511	99412	32085
1512	99495	32025
1513	99593	31969
1514	99681	31911
1515	99765	31851
1516	99847	31790
1517	99928	31729
1518	100010	31668
1519	100093	31608
1520	100177	31548
1521	100259	31487
1522	100334	31424
1523	100409	31361
1524	100485	31298
1525	100557	31234
1526	100633	31171
1527	100715	31110
1528	100786	31046
1529	100857	30982
1530	100931	30918
1531	101004	30855
1532	101075	30790
1533	101150	30727
1534	101224	30664
1535	101299	30600
1536	101371	30536
1537	101446	30473
1538	101522	30410
1539	101598	30347
1540	101674	30284
1541	101747	30220
1542	101828	30159
1543	101901	30095
1544	101978	30032
1545	102048	29967
1546	102122	29903
1547	102196	29840
1548	102271	29776
1549	102343	29712
1550	102413	29647
1551	102486	29583
1552	102557	29519
1553	102629	29454
1554	102699	29389
1555	102773	29325
1556	102843	29261
1557	102928	29200
1558	103000	29136
1559	103068	29070
1560	103136	29004
1561	103206	28940
1562	103276	28875
1563	103346	28810
1564	103419	28745
1565	103493	28682
1566	103563	28617
1567	103633	28552
1568	103705	28487
1569	103775	28422
1570	103845	28357
1571	103912	28291
1572	103984	28227
1573	104064	28164
1574	104134	28099
1575	104207	28035
1576	104279	27970
1577	104349	27906
1578	104422	27841
1579	104492	27776
1580	104562	27711
1581	104640	27648
1582	104712	27583
1583	104780	27518
1584	104849	27452
1585	104920	27387
1586	104991	27322
1587	105061	27257
1588	105140	27194
1589	105208	27129
1590	105279	27064
1591	105351	26999
1592	105423	26935
1593	105495	26870
1594	105567	26805
1595	105637	26740
1596	105706	26674
1597	105773	26608
1598	105845	26544
1599	105913	26478
1600	105987	26414
1601	106058	26349
1602	106127	26283
1603	106200	26219
1604	106287	26157
1605	106356	26092
1606	106427	26027
1607	106497	25961
1608	106567	25896
1609	106638	25831
1610	106708	25766
